자치구코드,법정동코드,자치구명,법정동명,본번,부번,주소,사업자상호
11545,1154510300,금천구,시흥동,910,9,서울특별시 금천구 금하로24길 8 1층 일부(시흥동),승리공인중개사사무소
11545,1154510100,금천구,가산동,777,0,서울특별시 금천구 벚꽃로 316 104호 (가산동),킹콩부동산공인중개사사무소
11545,1154510100,금천구,가산동,151,48,서울특별시 금천구 남부순환로112길 63 1층 일부 (가산동),한양공인중개사사무소
11545,1154510100,금천구,가산동,426,5,"서울특별시 금천구 가산디지털2로 123 209호 (가산동, 월드메르디앙2차)",OK벤처공인중개사사무소
11545,1154510100,금천구,가산동,371,28,"서울특별시 금천구 가산디지털1로 168 A-114호(가산동, 우림라이온스밸리)",부동산갤러리공인중개사사무소
11545,1154510200,금천구,독산동,1006,1,서울특별시 금천구 범안로 1174 ,매거진공인중개사사무소
11545,1154510100,금천구,가산동,505,18,서울특별시 금천구 가산디지털1로 226 202호 (가산동),(주)삼성부동산중개
11545,1154510100,금천구,가산동,371,47,서울특별시 금천구 가산디지털1로 151 207호 (가산동),바로공인중개사사무소
11545,1154510100,금천구,가산동,554,2,"서울특별시 금천구 가산디지털2로 43-14 135호 (가산동, 가산한화비즈메트로2차)",한화비즈공인중개사사무소
11545,1154510200,금천구,독산동,1150,0,"서울특별시 금천구 벚꽃로 30 205동 105호 (독산동, 금천롯데캐슬골드파크2차)",롯데미소공인중개사사무소
11545,1154510300,금천구,시흥동,940,11,서울특별시 금천구 시흥대로 94-1 1층 일부(시흥동),성실부동산공인중개사사무소
11545,1154510300,금천구,시흥동,828,1,서울특별시 금천구 금하로23길 8 1층 일부(시흥동),신용공인중개사사무소
11545,1154510100,금천구,가산동,345,25,서울특별시 금천구 가산디지털2로 46 103호 일부 (가산동),태세라공인중개사사무소
11545,1154510300,금천구,시흥동,1031,0,서울특별시 금천구 시흥대로73길 67 107호 (시흥동),이얀공인중개사사무소
11545,1154510200,금천구,독산동,151,3,"서울특별시 금천구 시흥대로139길 19 102호(독산동,SM벨리체)",나눔공인중개사사무소
11545,1154510100,금천구,가산동,371,28,"서울특별시 금천구 가산디지털1로 168 A-105호(가산동,우림라이온스밸리)",가산현대퍼블릭공인중개사사무소
11545,1154510300,금천구,시흥동,978,2,서울특별시 금천구 삼성산길 11 1층 일부 (시흥동),일등공인중개사사무소
11545,1154510100,금천구,가산동,517,4,서울특별시 금천구 가산디지털1로 225 103호일부(가산동),가산포휴공인중개사사무소
11545,1154510200,금천구,독산동,1150,0,"서울특별시 금천구 벚꽃로 30 205동 127호 (독산동, 금천롯데캐슬골드파크2차)",신세계공인중개사사무소
